model,accuracy,precision,recall,f1,roc_auc
tfidf+logreg,0.81,0.6705882352941176,0.8507462686567164,0.75,0.9014700931433061
tfidf+nb,0.795,0.9642857142857143,0.40298507462686567,0.5684210526315789,0.8961957131635059
