model,accuracy,precision,recall,f1,roc_auc
tfidf+logreg,0.955,0.9393939393939394,0.9253731343283582,0.9323308270676691,0.9907978902480081
tfidf+nb,0.905,0.9444444444444444,0.7611940298507462,0.8429752066115702,0.9604982605768152
