model,accuracy,precision,recall,f1,roc_auc
tfidf+logreg,0.94,1.0,0.8208955223880597,0.9016393442622951,0.9907978902480081
tfidf+nb,0.905,0.98,0.7313432835820896,0.8376068376068376,0.9604982605768152
